Protocol Description;;;;;;;;;;;;;
;Protocol name: Luciferase Assay System;;;;;;;;;;;;
;Result File name: \Thumb Drive\Promega\Data\CSV\plate_HI_Luciferase Assay System_16-03-2022_15-30-01.csv;;;;;;;;;;;;
;Total steps: 1;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Step 1;Luminescence;30µl per well (Injector 1) 1sec, 1 repeat, 96 well plate;;;;;;;;;;;
PlateResults;;;;;;;;;;;;;
;Read 1;;;;;;;;;;;;
;;1;2;3;4;5;6;7;8;9;10;11;12
;A;X;X;X;94,868389;96,374482;90,706579;94,098459;97,245835;97,001924;104,636395;99,11844;94,357504
;B;X;X;X;78,44821;83,824975;78,487841;87,814567;96,943339;90,097836;93,354372;92,665798;94,912245
;C;X;X;X;57,076961;65,727692;49,554157;88,21825;75,002782;73,339779;80,565005;83,917115;73,445607
;D;99,998326;-4,367017;X;31,1425;12,63362;12,789748;57,68055;40,484156;52,071718;58,330774;57,771634;70,986009
;E;100,002312;9,202922;X;30,338041;2,860282;24,372986;17,832876;30,459447;26,625986;49,914115;26,59837;31,340024
;F;100,000319;8,776768;X;-8,881402;4,24565;3,072114;-9,553326;18,654867;10,741584;26,818194;12,985559;50,018245
;G;99,99992;-14,12908;X;-33,937114;26,261626;-5,219466;-15,786093;18,898523;-1,51545;3,330867;3,809256;23,993256
;H;99,999123;0,516407;X;2,828127;-15,423055;12,818349;18,430684;9,592986;31,213626;-2,078227;15,877129;-6,179923
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Notes for the assay run: Enter Notes;;;;;;;;;;;;;
